Date : 2022-03-15 18:01:51
Directory : /home/moritz/Web-Projekte/Web-Engineering
Total : 234 files,  42334 codes, 132 comments, 1607 blanks, all 44073 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/embedBrowser/EmbedBrowser.mjs               | JavaScript         |         26 |          0 |          4 |         30 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/embedBrowser/index.html                     | HTML               |         23 |          0 |          6 |         29 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/fileView/FileView.mjs                       | JavaScript         |         72 |          1 |         10 |         83 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/fileView/index.html                         | HTML               |         15 |          0 |          4 |         19 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/js-console/JsConsole.mjs                    | JavaScript         |        113 |          3 |         27 |        143 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/js-console/index.html                       | HTML               |         14 |          0 |          2 |         16 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/reference/Reference.mjs                     | JavaScript         |         26 |          0 |          6 |         32 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/reference/index.html                        | HTML               |         14 |          3 |          1 |         18 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/tab-view/index.html                         | HTML               |         36 |          0 |          4 |         40 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/tab-view/tab-element.mjs                    | JavaScript         |         17 |          0 |          4 |         21 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/tab-view/tab-view.mjs                       | JavaScript         |         85 |          1 |         24 |        110 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/task-card/index.html                        | HTML               |         14 |          0 |          3 |         17 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/task-card/task-card.mjs                     | JavaScript         |         95 |          0 |         14 |        109 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/tipping/index.html                              | HTML               |         40 |          0 |         10 |         50 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/tipping/typing-field.js                         | JavaScript         |         32 |          0 |          7 |         39 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/webNavigator/WebNavigator.mjs                   | JavaScript         |          0 |          0 |          1 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/webNavigator/index.html                         | HTML               |         90 |          0 |         16 |        106 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/main.js                                                    | JavaScript         |        126 |          4 |         19 |        149 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/css/main.css                                            | CSS                |        335 |          9 |         57 |        401 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/abstracts/_colors.scss                             | SCSS               |          7 |          0 |          0 |          7 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/abstracts/_mixins.scss                             | SCSS               |          4 |          0 |          1 |          5 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/base/_reset.scss                                   | SCSS               |         38 |          4 |         10 |         52 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/base/_typography.scss                              | SCSS               |         14 |          0 |          3 |         17 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_buttons.scss                           | SCSS               |          8 |          0 |          0 |          8 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_embedBrowser.scss                      | SCSS               |          7 |          0 |          1 |          8 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_figures.scss                           | SCSS               |         18 |          0 |          7 |         25 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_fileViewer.scss                        | SCSS               |          4 |          0 |          0 |          4 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_input.scss                             | SCSS               |          5 |          0 |          0 |          5 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_links.scss                             | SCSS               |         10 |          0 |          2 |         12 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_questionBox.scss                       | SCSS               |          8 |          0 |          1 |          9 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_tabViewer.scss                         | SCSS               |          8 |          0 |          2 |         10 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/components/_taskCard.scss                          | SCSS               |          3 |          0 |          0 |          3 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_footer.scss                                | SCSS               |          7 |          0 |          0 |          7 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_grid.scss                                  | SCSS               |          9 |          0 |          0 |          9 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_header.scss                                | SCSS               |         59 |          0 |         24 |         83 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_main.scss                                  | SCSS               |         37 |          0 |          7 |         44 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/layout/_sidebar.scss                               | SCSS               |         34 |          0 |          7 |         41 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/style/scss/main.scss                                          | SCSS               |         20 |          4 |          9 |         33 |
| /home/moritz/Web-Projekte/Web-Engineering/content.json                                                         | JSON               |         95 |          0 |          1 |         96 |
| /home/moritz/Web-Projekte/Web-Engineering/home/info/index.html                                                 | HTML               |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/home/overview/index.html                                             | HTML               |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/home/welcome/index.html                                              | HTML               |         10 |          0 |          1 |         11 |
| /home/moritz/Web-Projekte/Web-Engineering/index.html                                                           | HTML               |        166 |          2 |         12 |        180 |
| /home/moritz/Web-Projekte/Web-Engineering/manifest.webmanifest                                                 | JSON               |         33 |          0 |          0 |         33 |
| /home/moritz/Web-Projekte/Web-Engineering/package-lock.json                                                    | JSON               |     31,629 |          0 |          1 |     31,630 |
| /home/moritz/Web-Projekte/Web-Engineering/package.json                                                         | JSON               |         38 |          0 |          1 |         39 |
| /home/moritz/Web-Projekte/Web-Engineering/pwa.js                                                               | JavaScript         |         42 |          0 |          5 |         47 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/EmbedBrowser.mjs                                             | JavaScript         |         27 |          0 |          4 |         31 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/EmbedBrowser.stories.js                                      | JavaScript         |         24 |          0 |          6 |         30 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/FileView.mjs                                                 | JavaScript         |         71 |          1 |         10 |         82 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/FileView.stories.js                                          | JavaScript         |         16 |          0 |          7 |         23 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/JsConsole.mjs                                                | JavaScript         |        113 |          3 |         27 |        143 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/JsConsole.stories.js                                         | JavaScript         |         14 |          0 |          4 |         18 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/Reference.mjs                                                | JavaScript         |         26 |          0 |          6 |         32 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/Reference.stories.js                                         | JavaScript         |         26 |          0 |          4 |         30 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/TabView.stories.js                                           | JavaScript         |         45 |          0 |          5 |         50 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/TaskCard.stories.js                                          | JavaScript         |         18 |          0 |          5 |         23 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/Tipping.stories.js                                           | JavaScript         |         14 |          0 |          4 |         18 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/assets/code-brackets.svg                                     | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/assets/colors.svg                                            | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/assets/comments.svg                                          | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/assets/direction.svg                                         | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/assets/flow.svg                                              | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/assets/plugin.svg                                            | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/assets/repo.svg                                              | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/assets/stackalt.svg                                          | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/tab-element.mjs                                              | JavaScript         |         17 |          0 |          4 |         21 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/tab-view.mjs                                                 | JavaScript         |         82 |          1 |         24 |        107 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/task-card.mjs                                                | JavaScript         |         95 |          0 |         14 |        109 |
| /home/moritz/Web-Projekte/Web-Engineering/stories/typing-field.js                                              | JavaScript         |         32 |          0 |          7 |         39 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/0.799c368cbe88266827ba.manager.bundle.js            | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/0.b726dc62.iframe.bundle.js                         | JavaScript         |          1 |          2 |          0 |          3 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/1.9ebd2fb519f6726108de.manager.bundle.js            | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/1.eefdcd05.iframe.bundle.js                         | JavaScript         |          1 |          2 |          0 |          3 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/10.a85ea1a67689be8e19ff.manager.bundle.js           | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/11.f4e922583ae35da460f3.manager.bundle.js           | JavaScript         |          1 |          1 |          0 |          2 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/12.1415460941f0bdcb8fa8.manager.bundle.js           | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/2.75691da5.iframe.bundle.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/3.08d15cf4.iframe.bundle.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/5.f459d151315e6780c20f.manager.bundle.js            | JavaScript         |          1 |          1 |          0 |          2 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/6.3bd64d820f3745f262ff.manager.bundle.js            | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/7.3d04765dbf3f1dcd706c.manager.bundle.js            | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/7.fa21ae28.iframe.bundle.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/8.9b339902.iframe.bundle.js                         | JavaScript         |          1 |          2 |          0 |          3 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/8.b541eadfcb9164835dfc.manager.bundle.js            | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/9.411ac8e451bbb10926c7.manager.bundle.js            | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/9.f9389e45.iframe.bundle.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/iframe.html                                         | HTML               |        309 |          0 |         39 |        348 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/index.html                                          | HTML               |         43 |          0 |          8 |         51 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/main.7b75eaaf.iframe.bundle.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/main.e2663b1cf842947d1a59.manager.bundle.js         | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/runtime~main.91a0c7330ab317d35c4a.manager.bundle.js | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/runtime~main.94b2d1e7.iframe.bundle.js              | JavaScript         |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/static/media/code-brackets.2e1112d7.svg             | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/static/media/colors.a4bd0486.svg                    | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/static/media/comments.a3859089.svg                  | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/static/media/direction.b770f9af.svg                 | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/static/media/flow.edad2ac1.svg                      | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/static/media/plugin.d494b228.svg                    | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/static/media/repo.6d496322.svg                      | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/static/media/stackalt.dba9fbb3.svg                  | XML                |          1 |          0 |          0 |          1 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/vendors~main.1677fd76.iframe.bundle.js              | JavaScript         |          1 |          2 |          0 |          3 |
| /home/moritz/Web-Projekte/Web-Engineering/storybook-static/vendors~main.f7f16cebbf3aa96a4f89.manager.bundle.js | JavaScript         |          1 |          1 |          0 |          2 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/index.html                                                     | HTML               |         25 |          0 |          9 |         34 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u1/Abschnitt1.html                                             | HTML               |         34 |          0 |          2 |         36 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u1/a4.html                                                     | HTML               |        113 |          0 |         10 |        123 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u1/a5.html                                                     | HTML               |         97 |          0 |         17 |        114 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u1/index.html                                                  | HTML               |         97 |          0 |         28 |        125 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u10/a1/index.html                                              | HTML               |         23 |          0 |          1 |         24 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u10/a1/inputValidator.mjs                                      | JavaScript         |         36 |          0 |          1 |         37 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u10/a2/index.html                                              | HTML               |         27 |          0 |          4 |         31 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u10/a2/menuComponent.mjs                                       | JavaScript         |         21 |          0 |          0 |         21 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u10/a3/content.json                                            | JSON               |         45 |          0 |          0 |         45 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u10/index.html                                                 | HTML               |         49 |          0 |         11 |         60 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/a1.html                                                    | HTML               |         15 |          0 |          2 |         17 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/a1_1.wasm                                                  | WebAssembly Binary |          2 |          0 |          0 |          2 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/a1_1.wat                                                   | WebAssembly Text   |         34 |          0 |          0 |         34 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/a1_2.js                                                    | JavaScript         |         13 |          0 |          4 |         17 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/a2.c                                                       | C                  |          8 |          0 |          2 |         10 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/a2.html                                                    | HTML               |        135 |          0 |         15 |        150 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/a2.js                                                      | JavaScript         |          6 |          0 |          0 |          6 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/a2.wasm                                                    | WebAssembly Binary |          7 |          0 |          0 |          7 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/a2.wat                                                     | WebAssembly Text   |         48 |          0 |          1 |         49 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u11/index.html                                                 | HTML               |        101 |          0 |         28 |        129 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u12/a1.js                                                      | JavaScript         |         36 |          4 |          4 |         44 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u12/index.html                                                 | HTML               |        267 |          0 |         48 |        315 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u12/test.js                                                    | JavaScript         |          4 |          0 |          1 |          5 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u12/xsrf/a3.html                                               | HTML               |         13 |          0 |          1 |         14 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u12/xsrf/a4.html                                               | HTML               |         18 |          0 |          2 |         20 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u12/xsrf/a7.html                                               | HTML               |         27 |          0 |          2 |         29 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u2/a1.html                                                     | HTML               |         63 |          0 |         14 |         77 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u2/a2.html                                                     | HTML               |         78 |          0 |         16 |         94 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u2/a3_1.html                                                   | HTML               |        116 |          0 |         17 |        133 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u2/a3_2.html                                                   | HTML               |        123 |          0 |         21 |        144 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u2/a4.html                                                     | HTML               |         92 |          0 |         12 |        104 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u2/index.html                                                  | HTML               |         98 |          0 |         22 |        120 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/Aufgabe3.html                                               | HTML               |        185 |          0 |         14 |        199 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/a1.html                                                     | HTML               |        112 |          0 |         25 |        137 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/a1.js                                                       | JavaScript         |        202 |         33 |         47 |        282 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/a2.html                                                     | HTML               |        152 |          0 |         36 |        188 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/index.html                                                  | HTML               |        331 |          0 |         39 |        370 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_1.js                                            | JavaScript         |          5 |          1 |          2 |          8 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_10.js                                           | JavaScript         |         10 |          1 |          3 |         14 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_11.js                                           | JavaScript         |         18 |          1 |          4 |         23 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_12.js                                           | JavaScript         |         10 |          0 |          1 |         11 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_13.js                                           | JavaScript         |         17 |          1 |          1 |         19 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_14.js                                           | JavaScript         |         13 |          1 |          4 |         18 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_2.js                                            | JavaScript         |          4 |          1 |          1 |          6 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_3.js                                            | JavaScript         |         10 |          1 |          3 |         14 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_4.js                                            | JavaScript         |          7 |          1 |          2 |         10 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_5.js                                            | JavaScript         |         20 |          2 |         10 |         32 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_6.js                                            | JavaScript         |         10 |          1 |          3 |         14 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_7.js                                            | JavaScript         |         13 |          3 |          3 |         19 |
| /home/moritz/Web-Projekte/Web-Engineering/tasks/u3/js-files/a1_8.js                                            | JavaScript         |         13 |          1 |          4 |         18 |
